QueryID,BestEvalue,FASTA_Header,UniProt_ID,DrugBank_IDs
drugbank_target|P09884,0,drugbank_target|P09884 DNA polymerase alpha catalytic subunit (DB00242; DB00631; DB01073; DB01280),P09884,DB00242;DB00631;DB01073;DB01280
drugbank_target|P09960,0,drugbank_target|P09960 Leukotriene A-4 hydrolase (DB01197),P09960,DB01197
drugbank_target|P0A0K8,2.09e-29,drugbank_target|P0A0K8 DNA gyrase subunit B (DB00218; DB00365; DB00537; DB00685; DB01044; DB01051; DB01059; DB01137; DB01155; DB01165; DB01208; DB06771; DB09047; DB12924),P0A0K8,DB00218;DB00365;DB00537;DB00685;DB01044;DB01051;DB01059;DB01137;DB01155;DB01165;DB01208;DB06771;DB09047;DB12924
drugbank_target|P0A7E1,6.69e-66,drugbank_target|P0A7E1 Dihydroorotate dehydrogenase (quinone) (DB03247),P0A7E1,DB03247
drugbank_target|P0A7S3,1.07e-20,drugbank_target|P0A7S3 30S ribosomal protein S12 (DB00452; DB00479; DB00560; DB00798; DB00919; DB00955; DB00994; DB01082; DB01172; DB03615),P0A7S3,DB00452;DB00479;DB00560;DB00798;DB00919;DB00955;DB00994;DB01082;DB01172;DB03615
drugbank_target|P0A7S9,1.23e-05,drugbank_target|P0A7S9 30S ribosomal protein S13 (DB00560),P0A7S9,DB00560
drugbank_target|P0A7U3,3.87e-07,drugbank_target|P0A7U3 30S ribosomal protein S19 (DB00560; DB00759; DB09093; DB12455),P0A7U3,DB00560;DB00759;DB09093;DB12455
drugbank_target|P0A7X3,2.82e-06,drugbank_target|P0A7X3 30S ribosomal protein S9 (DB00560; DB00595; DB01017; DB01301),P0A7X3,DB00560;DB00595;DB01017;DB01301
drugbank_target|P0A827,4.36e-121,drugbank_target|P0A827 Serine hydroxymethyltransferase (DB11596),P0A827,DB11596
drugbank_target|P0A8T7,2.51e-49,drugbank_target|P0A8T7 DNA-directed RNA polymerase subunit beta' (DB00615; DB11753),P0A8T7,DB00615;DB11753
drugbank_target|P0A8V2,1.33e-26,drugbank_target|P0A8V2 DNA-directed RNA polymerase subunit beta (DB00615; DB01220; DB11753),P0A8V2,DB00615;DB01220;DB11753
drugbank_target|P0A953,6.86e-50,drugbank_target|P0A953 3-oxoacyl-[acyl-carrier-protein] synthase 1 (DB03017),P0A953,DB03017
drugbank_target|P0AAI5,8.73e-78,drugbank_target|P0AAI5 3-oxoacyl-[acyl-carrier-protein] synthase 2 (DB03017),P0AAI5,DB03017
drugbank_target|P0ADY7,1.31e-06,drugbank_target|P0ADY7 50S ribosomal protein L16 (DB00446),P0ADY7,DB00446
drugbank_target|P0AEK4,4.21e-15,drugbank_target|P0AEK4 Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (DB08604),P0AEK4,DB08604
drugbank_target|P0AEZ1,1.46e-24,"drugbank_target|P0AEZ1 5,10-methylenetetrahydrofolate reductase (DB03147)",P0AEZ1,DB03147
drugbank_target|P0AFG8,3.95e-08,drugbank_target|P0AFG8 Pyruvate dehydrogenase E1 component (DB00152; DB01987),P0AFG8,DB00152;DB01987
drugbank_target|P0AFI7,1.51e-39,drugbank_target|P0AFI7 Pyridoxine/pyridoxamine 5'-phosphate oxidase (DB03247),P0AFI7,DB03247
drugbank_target|P0C0L5,4.58e-59,drugbank_target|P0C0L5 Complement C4-B (DB00028; DB01593; DB09130; DB14487; DB14533; DB14548),P0C0L5,DB00028;DB01593;DB09130;DB14487;DB14533;DB14548
drugbank_target|P0C264,1.23e-18,drugbank_target|P0C264 Uncharacterized serine/threonine-protein kinase SBK3 (DB12010),P0C264,DB12010
drugbank_target|P0C278,2.97e-52,drugbank_target|P0C278 Fumarate reductase flavoprotein subunit (DB03147),P0C278,DB03147
drugbank_target|P0C6X7,5.4e-10,drugbank_target|P0C6X7 Replicase polyprotein 1ab (DB14761),P0C6X7,DB14761
drugbank_target|P0DJD9,2.47e-97,drugbank_target|P0DJD9 Pepsin A-5 (DB00364),P0DJD9,DB00364
drugbank_target|P0DMS8,2.21e-16,drugbank_target|P0DMS8 Adenosine receptor A3 (DB14018),P0DMS8,DB00201;DB00640;DB00824;DB01223;DB07776;DB12010;DB14018
drugbank_target|P0DOO6,8e-16,drugbank_target|P0DOO6 DNA polymerase (DB12151),P0DOO6,DB12151
drugbank_target|P0DP23,6.38e-72,drugbank_target|P0DP23 Calmodulin-1 (DB00477; DB00527; DB00622; DB00623; DB00753; DB00831; DB00836; DB00850; DB00925; DB01023; DB01065; DB01069; DB01100; DB01115; DB01244; DB04209; DB04825; DB04841; DB11093; DB11348; DB13800; DB14481),P0DP23,DB00477;DB00527;DB00622;DB00623;DB00753;DB00831;DB00836;DB00850;DB00925;DB01023;DB01065;DB01069;DB01100;DB01115;DB01218;DB01244;DB04209;DB04825;DB04841;DB11093;DB11348;DB13800;DB14481
drugbank_target|P0DP24,6.38e-72,drugbank_target|P0DP24 Calmodulin-2 (DB00477; DB00527; DB00622; DB00623; DB00753; DB00831; DB00836; DB00850; DB00925; DB01023; DB01065; DB01069; DB01100; DB01115; DB01244; DB04209; DB04825; DB04841; DB11093; DB11348; DB13800; DB14481),P0DP24,DB00477;DB00527;DB00622;DB00623;DB00753;DB00831;DB00836;DB00850;DB00925;DB01023;DB01065;DB01069;DB01100;DB01115;DB01218;DB01244;DB04209;DB04825;DB04841;DB11093;DB11348;DB13800;DB14481
drugbank_target|P0DP25,6.38e-72,drugbank_target|P0DP25 Calmodulin-3 (DB00477; DB00527; DB00622; DB00623; DB00753; DB00831; DB00836; DB00850; DB00925; DB01023; DB01065; DB01069; DB01100; DB01115; DB01244; DB04209; DB04825; DB04841; DB11093; DB11348; DB13800; DB14481),P0DP25,DB00477;DB00527;DB00622;DB00623;DB00753;DB00831;DB00836;DB00850;DB00925;DB01023;DB01065;DB01069;DB01100;DB01115;DB01218;DB01244;DB04209;DB04825;DB04841;DB11093;DB11348;DB13800;DB14481
drugbank_target|P0DPH7,0,drugbank_target|P0DPH7 Tubulin alpha-3C chain (DB09130),P0DPH7,DB09130
drugbank_target|P0DPH8,0,drugbank_target|P0DPH8 Tubulin alpha-3D chain (DB09130),P0DPH8,DB09130
drugbank_target|P0DTD1,5.1e-10,drugbank_target|P0DTD1 Replicase polyprotein 1ab (DB14761; DB16691),P0DTD1,DB14761;DB16691
drugbank_target|P10109,1.05e-26,"drugbank_target|P10109 Adrenodoxin, mitochondrial (DB00648)",P10109,DB00648
drugbank_target|P10253,4.03e-152,drugbank_target|P10253 Lysosomal alpha-glucosidase (DB00284; DB00491; DB14109),P10253,DB00284;DB00491;DB14109
drugbank_target|P10275,2.38e-25,drugbank_target|P10275 Androgen receptor (DB00255; DB00367; DB00396; DB00421; DB00499; DB00621; DB00623; DB00624; DB00648; DB00655; DB00665; DB00675; DB00687; DB00717; DB00957; DB00984; DB01026; DB01063; DB01128; DB01185; DB01395; DB01406; DB01420; DB01428; DB01608; DB01708; DB02266; DB04839; DB06412; DB06710; DB06713; DB06718; DB07776; DB08604; DB08804; DB08867; DB08899; DB09086; DB09123; DB09371; DB09389; DB11064; DB11219; DB11619; DB11901; DB12499; DB12941; DB13155; DB13943; DB13944; DB13946; DB14583),P10275,DB00255;DB00367;DB00396;DB00421;DB00499;DB00621;DB00623;DB00624;DB00648;DB00655;DB00665;DB00675;DB00687;DB00717;DB00957;DB00984;DB01026;DB01063;DB01128;DB01185;DB01395;DB01406;DB01420;DB01428;DB01608;DB01708;DB02266;DB04839;DB06412;DB06710;DB06713;DB06718;DB07776;DB08604;DB08804;DB08867;DB08899;DB09086;DB09123;DB09371;DB09389;DB11064;DB11219;DB11619;DB11901;DB12499;DB12941;DB13155;DB13943;DB13944;DB13946;DB14583
drugbank_target|P10398,1.81e-127,drugbank_target|P10398 Serine/threonine-protein kinase A-Raf (DB15266),P10398,DB15266
drugbank_target|P10415,3.27e-08,drugbank_target|P10415 Apoptosis regulator Bcl-2 (DB01050; DB01229; DB01248; DB01367; DB08871; DB09213; DB11581; DB12243),P10415,DB01050;DB01229;DB01248;DB01367;DB08871;DB09213;DB11581;DB12243
drugbank_target|P10515,1.02e-108,"drugbank_target|P10515 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (DB00157)",P10515,DB00157
drugbank_target|P10606,6.33e-11,"drugbank_target|P10606 Cytochrome c oxidase subunit 5B, mitochondrial (DB02659)",P10606,DB02659
drugbank_target|P10613,1.7e-18,drugbank_target|P10613 Lanosterol 14-alpha demethylase (DB00196; DB00239; DB00251; DB00257; DB00582; DB00639; DB01007; DB01026; DB01110; DB01127; DB01153; DB01167; DB01263; DB04272; DB04794; DB08933; DB09040; DB13055),P10613,DB00196;DB00239;DB00251;DB00257;DB00582;DB00639;DB01007;DB01026;DB01110;DB01127;DB01153;DB01167;DB01263;DB04272;DB04794;DB08933;DB09040;DB13055
drugbank_target|P10632,1.23e-89,drugbank_target|P10632 Cytochrome P450 2C8 (DB00951; DB03796),P10632,DB00951;DB03796
drugbank_target|P10636,2.22e-16,drugbank_target|P10636 Microtubule-associated protein tau (DB00448; DB00637; DB14914),P10636,DB00448;DB00637;DB14914
drugbank_target|P10696,9.85e-62,"drugbank_target|P10696 Alkaline phosphatase, germ cell type (DB00848; DB01143)",P10696,DB00848;DB01143
drugbank_target|P10721,6.42e-68,drugbank_target|P10721 Mast/stem cell growth factor receptor Kit (DB00398; DB00619; DB01254; DB01268; DB04868; DB06589; DB06595; DB08896; DB08901; DB09078; DB09103; DB11800; DB12010; DB12147; DB12978; DB14840; DB15233),P10721,DB00398;DB00619;DB01254;DB01268;DB04868;DB06589;DB06595;DB08896;DB08901;DB09078;DB09103;DB11800;DB12010;DB12147;DB12978;DB14840;DB15233
drugbank_target|P10768,2.85e-115,drugbank_target|P10768 S-formylglutathione hydrolase (DB00143),P10768,DB00143
drugbank_target|P10809,0,"drugbank_target|P10809 60 kDa heat shock protein, mitochondrial (DB09130)",P10809,DB09130
drugbank_target|P10827,8.54e-49,drugbank_target|P10827 Thyroid hormone receptor alpha (DB01118),P10827,DB00279;DB00451;DB00509;DB01118;DB01583;DB04855;DB09100
drugbank_target|P10828,4.52e-49,drugbank_target|P10828 Thyroid hormone receptor beta (DB01118),P10828,DB00279;DB00451;DB00509;DB01118;DB01583;DB09100;DB12914
drugbank_target|P10902,2.22e-52,drugbank_target|P10902 L-aspartate oxidase (DB03147),P10902,DB03147
drugbank_target|P11021,0,drugbank_target|P11021 Endoplasmic reticulum chaperone BiP (DB00025; DB00945; DB09130; DB13998; DB13999),P11021,DB00025;DB00945;DB09130;DB13998;DB13999
drugbank_target|P11137,2.36e-18,drugbank_target|P11137 Microtubule-associated protein 2 (DB01196),P11137,DB01196
drugbank_target|P11142,0,drugbank_target|P11142 Heat shock cognate 71 kDa protein (DB01254; DB09130; DB11638),P11142,DB01254;DB09130;DB11638
drugbank_target|P11166,5.42e-126,"drugbank_target|P11166 Solute carrier family 2, facilitated glucose transporter member 1 (DB11059)",P11166,DB11059
drugbank_target|P11168,2.45e-111,"drugbank_target|P11168 Solute carrier family 2, facilitated glucose transporter member 2 (DB00428)",P11168,DB00428
drugbank_target|P11177,4.86e-159,"drugbank_target|P11177 Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (DB00119; DB00157)",P11177,DB00119;DB00157
drugbank_target|P11216,0,"drugbank_target|P11216 Glycogen phosphorylase, brain form (DB00114)",P11216,DB00114
drugbank_target|P11217,0,"drugbank_target|P11217 Glycogen phosphorylase, muscle form (DB00114)",P11217,DB00114
drugbank_target|P11229,2.64e-46,drugbank_target|P11229 Muscarinic acetylcholine receptor M1 (DB00321; DB00340; DB00366; DB00454; DB00540; DB00543; DB00568; DB00715; DB00726; DB00777; DB01221; DB11855; DB19325),P11229,DB00185;DB00193;DB00209;DB00219;DB00245;DB00246;DB00280;DB00321;DB00332;DB00334;DB00340;DB00342;DB00354;DB00363;DB00366;DB00376;DB00383;DB00387;DB00392;DB00408;DB00411;DB00420;DB00424;DB00434;DB00454;DB00458;DB00462;DB00477;DB00483;DB00496;DB00508;DB00517;DB00540;DB00543;DB00568;DB00572;DB00622;DB00670;DB00715;DB00725;DB00726;DB00747;DB00771;DB00777;DB00782;DB00804;DB00805;DB00809;DB00810;DB00835;DB00875;DB00907;DB00934;DB00940;DB00942;DB00979;DB00986;DB01019;DB01036;DB01062;DB01069;DB01085;DB01142;DB01148;DB01151;DB01175;DB01221;DB01224;DB01231;DB01233;DB01238;DB01239;DB01403;DB01409;DB01591;DB01618;DB03128;DB04843;DB06153;DB06702;DB06709;DB06787;DB08897;DB09076;DB09089;DB09128;DB09167;DB09185;DB11156;DB11181;DB11235;DB11855;DB12278;DB13262;DB13720;DB14185;DB15357;DB19325
drugbank_target|P11274,6.32e-31,drugbank_target|P11274 Breakpoint cluster region protein (DB00619; DB01254; DB08901),P11274,DB00619;DB01254;DB08901
drugbank_target|P11309,6.26e-105,drugbank_target|P11309 Serine/threonine-protein kinase pim-1 (DB12010),P11309,DB12010
drugbank_target|P11310,4.05e-103,"drugbank_target|P11310 Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (DB03147)",P11310,DB03147
drugbank_target|P11362,2.19e-90,drugbank_target|P11362 Fibroblast growth factor receptor 1 (DB00039; DB00398; DB01109; DB08896; DB08901; DB09078; DB09079; DB11800; DB11886; DB12010; DB12147; DB15102; DB15149; DB15685; DB15822),P11362,DB00039;DB00398;DB01109;DB08896;DB08901;DB09078;DB09079;DB11800;DB11886;DB12010;DB12147;DB15102;DB15149;DB15685;DB15822
drugbank_target|P11387,0,drugbank_target|P11387 DNA topoisomerase 1 (DB00762; DB00970; DB00997; DB01030; DB05630; DB11254; DB12893; DB14962),P11387,DB00762;DB00970;DB00997;DB01030;DB05630;DB11254;DB12893;DB14962
drugbank_target|P11388,0,drugbank_target|P11388 DNA topoisomerase 2-alpha (DB00970; DB01059),P11388,DB00218;DB00276;DB00380;DB00385;DB00444;DB00445;DB00467;DB00487;DB00537;DB00685;DB00694;DB00773;DB00779;DB00817;DB00827;DB00970;DB00978;DB00997;DB01051;DB01059;DB01165;DB01177;DB01179;DB01204;DB01208;DB06193;DB09047
drugbank_target|P11413,0,drugbank_target|P11413 Glucose-6-phosphate 1-dehydrogenase (DB01708; DB03085; DB11638),P11413,DB01708;DB03085;DB11638
drugbank_target|P11473,7.62e-32,drugbank_target|P11473 Vitamin D3 receptor (DB00136; DB00146; DB00153; DB00169; DB00910; DB01070; DB01436; DB02300; DB04540; DB06410; DB11094; DB11672),P11473,DB00136;DB00146;DB00153;DB00169;DB00910;DB01070;DB01436;DB02300;DB04540;DB06410;DB11094;DB11672
drugbank_target|P11474,6.77e-40,drugbank_target|P11474 Steroid hormone receptor ERR1 (DB00197; DB00253; DB00255; DB00288; DB00547; DB00596; DB00663; DB00846; DB00896; DB00995; DB01047; DB01130; DB01260; DB01380; DB02789; DB06786; DB07776; DB14596),P11474,DB00197;DB00253;DB00255;DB00288;DB00547;DB00596;DB00663;DB00846;DB00896;DB00995;DB01047;DB01130;DB01260;DB01380;DB02789;DB06786;DB07776;DB14596
drugbank_target|P11498,0,"drugbank_target|P11498 Pyruvate carboxylase, mitochondrial (DB00119; DB00121)",P11498,DB00119;DB00121
drugbank_target|P11511,2.5e-23,drugbank_target|P11511 Aromatase (DB00184; DB00357; DB00514; DB00655; DB00894; DB00990; DB01006; DB01217; DB07776; DB08905; DB16236),P11511,DB00184;DB00357;DB00514;DB00655;DB00894;DB00990;DB01006;DB01217;DB07776;DB08905;DB16236
drugbank_target|P11586,0,"drugbank_target|P11586 C-1-tetrahydrofolate synthase, cytoplasmic (DB00157)",P11586,DB00157
drugbank_target|P11766,0,drugbank_target|P11766 Alcohol dehydrogenase class-3 (DB00157; DB03017),P11766,DB00157;DB03017
drugbank_target|P11802,4.85e-72,drugbank_target|P11802 Cyclin-dependent kinase 4 (DB05676; DB09073; DB11730; DB12001; DB12010; DB15442),P11802,DB05676;DB09073;DB11730;DB12001;DB12010;DB15442
drugbank_target|P11926,4.74e-133,drugbank_target|P11926 Ornithine decarboxylase (DB00114; DB00203; DB00313; DB06243),P11926,DB00114;DB00203;DB00313;DB06243
drugbank_target|P12004,1.08e-86,drugbank_target|P12004 Proliferating cell nuclear antigen (DB00279; DB00945; DB03619),P12004,DB00279;DB00945;DB03619
drugbank_target|P12104,6.56e-18,"drugbank_target|P12104 Fatty acid-binding protein, intestinal (DB01050; DB09213)",P12104,DB01050;DB09213
drugbank_target|P12235,2.27e-150,drugbank_target|P12235 ADP/ATP translocase 1 (DB00720; DB01077),P12235,DB00720;DB01077
drugbank_target|P12236,3.07e-146,drugbank_target|P12236 ADP/ATP translocase 3 (DB00720; DB01077),P12236,DB00720;DB01077
drugbank_target|P12268,2.22e-146,drugbank_target|P12268 Inosine-5'-monophosphate dehydrogenase 2 (DB01033),P12268,DB00157;DB00688;DB00811;DB01024;DB01033
drugbank_target|P12277,3.35e-81,drugbank_target|P12277 Creatine kinase B-type (DB00148),P12277,DB00148
drugbank_target|P12314,6.12e-05,drugbank_target|P12314 High affinity immunoglobulin gamma Fc receptor I (DB00002; DB00005; DB00028; DB00056; DB00087; DB00108; DB00110; DB00112; DB00707; DB06607; DB11767; DB14962),P12314,DB00002;DB00005;DB00028;DB00056;DB00087;DB00108;DB00110;DB00112;DB00707;DB06607;DB11767;DB14962
drugbank_target|P12461,4.9e-124,drugbank_target|P12461 Thymidylate synthase (DB00293; DB00322; DB00432; DB00537; DB00544; DB00642; DB01099; DB01101),P12461,DB00293;DB00322;DB00432;DB00537;DB00544;DB00642;DB01099;DB01101
drugbank_target|P12532,5.49e-81,"drugbank_target|P12532 Creatine kinase U-type, mitochondrial (DB00148)",P12532,DB00148
drugbank_target|P12814,0,drugbank_target|P12814 Alpha-actinin-1 (DB06773; DB09130),P12814,DB06773;DB09130
drugbank_target|P12821,3.05e-75,drugbank_target|P12821 Angiotensin-converting enzyme (DB00178; DB00492; DB00519; DB00542; DB00584; DB00691; DB00722; DB00790; DB00881; DB00999; DB01089; DB01180; DB01197; DB01340; DB01348; DB09477; DB13166),P12821,DB00178;DB00492;DB00519;DB00542;DB00584;DB00691;DB00722;DB00790;DB00881;DB00999;DB01089;DB01180;DB01197;DB01340;DB01348;DB09477;DB13166
drugbank_target|P12931,2.55e-104,drugbank_target|P12931 Proto-oncogene tyrosine-protein kinase Src (DB01254; DB04272; DB06137; DB06616; DB08901; DB09079; DB12010),P12931,DB01254;DB04272;DB06137;DB06616;DB08901;DB09079;DB12010
drugbank_target|P13196,9.1e-64,"drugbank_target|P13196 5-aminolevulinate synthase, non-specific, mitochondrial (DB00114; DB00145; DB03404; DB15066)",P13196,DB00114;DB00145;DB03404;DB15066
drugbank_target|P13551,3.13e-109,drugbank_target|P13551 Elongation factor G (DB02703),P13551,DB02703
drugbank_target|P13568,8.88e-154,drugbank_target|P13568 Multidrug resistance protein (DB11638),P13568,DB11638
drugbank_target|P13569,2.95e-100,drugbank_target|P13569 Cystic fibrosis transmembrane conductance regulator (DB00887; DB01016; DB01050; DB04941; DB08820; DB09213; DB09280; DB11712; DB15444),P13569,DB00887;DB01016;DB01050;DB04941;DB08820;DB09213;DB09280;DB11712;DB15444
drugbank_target|P13611,1.83e-20,drugbank_target|P13611 Versican core protein (DB08818),P13611,DB08818
drugbank_target|P13612,1.54e-39,drugbank_target|P13612 Integrin alpha-4 (DB00108; DB02530; DB06822; DB09033),P13612,DB00108;DB02530;DB06822;DB09033
drugbank_target|P13637,0,drugbank_target|P13637 Sodium/potassium-transporting ATPase subunit alpha-3 (DB09020),P13637,DB00390;DB01092;DB01396;DB09020
drugbank_target|P13645,2.47e-24,"drugbank_target|P13645 Keratin, type I cytoskeletal 10 (DB01593; DB09130; DB14487)",P13645,DB01593;DB09130;DB14487
drugbank_target|P13647,3.29e-30,"drugbank_target|P13647 Keratin, type II cytoskeletal 5 (DB01593; DB14487)",P13647,DB01593;DB14487
drugbank_target|P13674,1.33e-144,drugbank_target|P13674 Prolyl 4-hydroxylase subunit alpha-1 (DB00126; DB01275),P13674,DB00126;DB01275
drugbank_target|P13693,7.11e-14,drugbank_target|P13693 Translationally-controlled tumor protein (DB11093; DB11348; DB14481),P13693,DB11093;DB11348;DB14481
drugbank_target|P13830,1.94e-08,drugbank_target|P13830 Ring-infected erythrocyte surface antigen (DB11638),P13830,DB11638
drugbank_target|P13922,1.52e-119,drugbank_target|P13922 Bifunctional dihydrofolate reductase-thymidylate synthase (DB00205; DB01131; DB01299),P13922,DB00205;DB01131;DB01299
drugbank_target|P13945,1.32e-41,drugbank_target|P13945 Beta-3 adrenergic receptor (DB00182; DB00217; DB00264; DB00334; DB00540; DB00715; DB00726; DB00785; DB00867; DB01049; DB01118; DB01365; DB11273; DB11278; DB13345),P13945,DB00182;DB00217;DB00264;DB00320;DB00334;DB00368;DB00376;DB00540;DB00571;DB00715;DB00726;DB00785;DB00867;DB00871;DB00938;DB00960;DB00983;DB01001;DB01049;DB01064;DB01102;DB01118;DB01288;DB01365;DB01407;DB01580;DB04846;DB04861;DB06262;DB08893;DB11124;DB11273;DB11278;DB13345;DB13781;DB14895
drugbank_target|P13995,7.81e-38,"drugbank_target|P13995 Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial (DB00157)",P13995,DB00157
drugbank_target|P14060,1.97e-21,drugbank_target|P14060 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 (DB00157; DB01108; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544),P14060,DB00157;DB01108;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544
drugbank_target|P14061,1.15e-15,drugbank_target|P14061 17-beta-hydroxysteroid dehydrogenase type 1 (DB00157),P14061,DB00157
drugbank_target|P14210,1.18e-22,drugbank_target|P14210 Hepatocyte growth factor (DB00313; DB01109),P14210,DB00313;DB01109
drugbank_target|P14218,1.31e-108,drugbank_target|P14218 Dihydrolipoyl dehydrogenase (DB03147),P14218,DB03147
drugbank_target|P14223,8.75e-121,drugbank_target|P14223 Fructose-bisphosphate aldolase (DB11638),P14223,DB11638
drugbank_target|P14324,2.78e-56,drugbank_target|P14324 Farnesyl pyrophosphate synthase (DB00282; DB00399; DB00630; DB00710; DB00884; DB04160),P14324,DB00282;DB00399;DB00630;DB00710;DB00884;DB04160
drugbank_target|P14410,7.8e-172,"drugbank_target|P14410 Sucrase-isomaltase, intestinal (DB00284; DB00747)",P14410,DB00284;DB00747
drugbank_target|P14415,5.56e-13,drugbank_target|P14415 Sodium/potassium-transporting ATPase subunit beta-2 (DB09020),P14415,DB00390;DB01396;DB09020
drugbank_target|P14416,4.18e-60,drugbank_target|P14416 D(2) dopamine receptor (DB01049; DB08804; DB11275; DB13345),P14416,DB00182;DB00246;DB00248;DB00268;DB00298;DB00320;DB00334;DB00363;DB00372;DB00388;DB00391;DB00408;DB00409;DB00413;DB00420;DB00433;DB00450;DB00458;DB00477;DB00490;DB00502;DB00508;DB00540;DB00543;DB00555;DB00568;DB00589;DB00610;DB00623;DB00662;DB00679;DB00692;DB00696;DB00714;DB00715;DB00726;DB00734;DB00777;DB00797;DB00805;DB00831;DB00850;DB00852;DB00875;DB00915;DB00925;DB00933;DB00934;DB00968;DB00988;DB01043;DB01049;DB01063;DB01069;DB01100;DB01151;DB01175;DB01184;DB01186;DB01200;DB01221;DB01224;DB01233;DB01235;DB01238;DB01239;DB01253;DB01267;DB01364;DB01365;DB01392;DB01403;DB01577;DB01618;DB01621;DB01623;DB01624;DB04821;DB04842;DB04844;DB04946;DB05271;DB06016;DB06077;DB06144;DB06148;DB06216;DB06288;DB06711;DB06808;DB08804;DB08815;DB09097;DB09128;DB09225;DB11160;DB11274;DB11275;DB12313;DB12710;DB13345;DB14185
drugbank_target|P14550,1.26e-97,drugbank_target|P14550 Aldo-keto reductase family 1 member A1 (DB09130),P14550,DB09130
drugbank_target|P14555,9.41e-17,"drugbank_target|P14555 Phospholipase A2, membrane associated (DB00328; DB01381; DB02325; DB03017)",P14555,DB00328;DB01381;DB02325;DB03017
drugbank_target|P14616,4.56e-97,drugbank_target|P14616 Insulin receptor-related protein (DB12010),P14616,DB12010
drugbank_target|P14618,0,drugbank_target|P14618 Pyruvate kinase PKM (DB00119; DB09130; DB11263; DB11638),P14618,DB00119;DB09130;DB11263;DB11638
drugbank_target|P14625,0,drugbank_target|P14625 Endoplasmin (DB00615; DB09130),P14625,DB00615;DB09130
drugbank_target|P14642,0,drugbank_target|P14642 Tubulin alpha chain (DB11638),P14642,DB11638
drugbank_target|P14679,1.04e-16,drugbank_target|P14679 Tyrosinase (DB00157; DB00548; DB00600; DB09526; DB11217; DB11254),P14679,DB00157;DB00548;DB00600;DB09526;DB11217;DB11254
drugbank_target|P14735,0,drugbank_target|P14735 Insulin-degrading enzyme (DB00626),P14735,DB00626
drugbank_target|P14780,9.41e-17,drugbank_target|P14780 Matrix metalloproteinase-9 (DB00143; DB01017; DB01197; DB01593; DB11672; DB14487; DB14533; DB14548),P14780,DB00143;DB01017;DB01197;DB01593;DB11672;DB14487;DB14533;DB14548
drugbank_target|P14854,1.24e-14,drugbank_target|P14854 Cytochrome c oxidase subunit 6B1 (DB02659),P14854,DB02659
drugbank_target|P14866,2.81e-93,drugbank_target|P14866 Heterogeneous nuclear ribonucleoprotein L (DB09130),P14866,DB09130
drugbank_target|P14867,6.4e-74,drugbank_target|P14867 Gamma-aminobutyric acid receptor subunit alpha-1 (DB00186; DB00231; DB00334; DB00349; DB00404; DB00475; DB00555; DB00628; DB00683; DB00690; DB00801; DB00829; DB00842; DB00897; DB00909; DB01068; DB01215; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB12404; DB12537; DB13872),P14867,DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00252;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00363;DB00371;DB00395;DB00402;DB00404;DB00418;DB00425;DB00474;DB00475;DB00543;DB00555;DB00599;DB00603;DB00628;DB00683;DB00690;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00849;DB00897;DB00898;DB00909;DB00962;DB01028;DB01043;DB01068;DB01107;DB01154;DB01159;DB01174;DB01189;DB01198;DB01205;DB01215;DB01236;DB01346;DB01351;DB01353;DB01381;DB01437;DB01544;DB01558;DB01559;DB01587;DB01588;DB01589;DB01595;DB01708;DB01956;DB02530;DB05087;DB06119;DB07776;DB09118;DB11859;DB11901;DB12404;DB12537;DB13872;DB15490
drugbank_target|P14868,0,"drugbank_target|P14868 Aspartate--tRNA ligase, cytoplasmic (DB00128)",P14868,DB00128
drugbank_target|P14902,1.07e-34,"drugbank_target|P14902 Indoleamine 2,3-dioxygenase 1 (DB00150; DB00435; DB09061)",P14902,DB00150;DB00435;DB09061
drugbank_target|P14920,8.57e-32,drugbank_target|P14920 D-amino-acid oxidase (DB03147; DB03793),P14920,DB03147;DB03793
drugbank_target|P14923,6.37e-98,drugbank_target|P14923 Junction plakoglobin (DB01593; DB14487),P14923,DB01593;DB14487
drugbank_target|P15056,8.25e-137,drugbank_target|P15056 Serine/threonine-protein kinase B-raf (DB00398; DB08881; DB08896; DB08912; DB11718; DB12010; DB14840; DB15266),P15056,DB00398;DB08881;DB08896;DB08912;DB11718;DB12010;DB14840;DB15266
drugbank_target|P15086,2.47e-78,drugbank_target|P15086 Carboxypeptidase B (DB04272),P15086,DB04272
drugbank_target|P15090,3.28e-25,"drugbank_target|P15090 Fatty acid-binding protein, adipocyte (DB03796; DB04224; DB14104)",P15090,DB03796;DB04224;DB14104
drugbank_target|P15104,2.59e-175,drugbank_target|P15104 Glutamine synthetase (DB00130; DB00142; DB06757),P15104,DB00130;DB00142;DB06757
